record_id,dataset_id,source_row,row_label,row_data,search_text
record_30ddca7ac25f3c382408c634,dataset_b0185afd65c853b06cb505b3,27,海关,"{""案件类别"":""海关"",""收 案"":""50"",""结 案"":""59"",""结案方式/判决"":""20"",""结案方式/不予受理"":""3"",""结案方式/驳回起诉"":""21"",""结案方式/撤诉"":""14"",""结案方式/调解"":""1"",""未结"":""12""}",表16 2019年全国法院审理行政一审案件情况统计表；统计期间：2019-2019；案件类别：海关；收 案：50；结 案：59；结案方式/判决：20；结案方式/不予受理：3；结案方式/驳回起诉：21；结案方式/撤诉：14；结案方式/调解：1；未结：12
record_4205dc0f9f9913e771e2cb78,dataset_b0185afd65c853b06cb505b3,28,财政,"{""案件类别"":""财政"",""收 案"":""649"",""结 案"":""643"",""结案方式/判决"":""183"",""结案方式/不予受理"":""35"",""结案方式/驳回起诉"":""327"",""结案方式/撤诉"":""85"",""结案方式/其他"":""13"",""未结"":""51""}",表16 2019年全国法院审理行政一审案件情况统计表；统计期间：2019-2019；案件类别：财政；收 案：649；结 案：643；结案方式/判决：183；结案方式/不予受理：35；结案方式/驳回起诉：327；结案方式/撤诉：85；结案方式/其他：13；未结：51
record_c2871f21353064d03245f2a5,dataset_b0185afd65c853b06cb505b3,29,劳动和社会保障,"{""案件类别"":""劳动和社会保障"",""收 案"":""19375"",""结 案"":""19643"",""结案方式/判决"":""12807"",""结案方式/不予受理"":""425"",""结案方式/驳回起诉"":""1731"",""结案方式/撤诉"":""4154"",""结案方式/调解"":""35"",""结案方式/其他"":""491"",""未结"":""2178""}",表16 2019年全国法院审理行政一审案件情况统计表；统计期间：2019-2019；案件类别：劳动和社会保障；收 案：19375；结 案：19643；结案方式/判决：12807；结案方式/不予受理：425；结案方式/驳回起诉：1731；结案方式/撤诉：4154；结案方式/调解：35；结案方式/其他：491；未结：2178
record_d28fe82bfd99b8b5295136da,dataset_b0185afd65c853b06cb505b3,30,审计,"{""案件类别"":""审计"",""收 案"":""102"",""结 案"":""106"",""结案方式/判决"":""27"",""结案方式/不予受理"":""41"",""结案方式/驳回起诉"":""25"",""结案方式/撤诉"":""6"",""结案方式/其他"":""7"",""未结"":""7""}",表16 2019年全国法院审理行政一审案件情况统计表；统计期间：2019-2019；案件类别：审计；收 案：102；结 案：106；结案方式/判决：27；结案方式/不予受理：41；结案方式/驳回起诉：25；结案方式/撤诉：6；结案方式/其他：7；未结：7
record_dcb9e2822346e4c6d7960aa8,dataset_b0185afd65c853b06cb505b3,31,经贸,"{""案件类别"":""经贸"",""收 案"":""6"",""结 案"":""6"",""结案方式/判决"":""5"",""结案方式/驳回起诉"":""1""}",表16 2019年全国法院审理行政一审案件情况统计表；统计期间：2019-2019；案件类别：经贸；收 案：6；结 案：6；结案方式/判决：5；结案方式/驳回起诉：1
record_04dbbaab0ad1279cef7252be,dataset_b0185afd65c853b06cb505b3,32,水利,"{""案件类别"":""水利"",""收 案"":""572"",""结 案"":""539"",""结案方式/判决"":""297"",""结案方式/不予受理"":""23"",""结案方式/驳回起诉"":""114"",""结案方式/撤诉"":""85"",""结案方式/调解"":""2"",""结案方式/其他"":""18"",""未结"":""127""}",表16 2019年全国法院审理行政一审案件情况统计表；统计期间：2019-2019；案件类别：水利；收 案：572；结 案：539；结案方式/判决：297；结案方式/不予受理：23；结案方式/驳回起诉：114；结案方式/撤诉：85；结案方式/调解：2；结案方式/其他：18；未结：127
record_ad3218f08db85c46028e6704,dataset_b0185afd65c853b06cb505b3,33,旅游,"{""案件类别"":""旅游"",""收 案"":""44"",""结 案"":""38"",""结案方式/判决"":""20"",""结案方式/不予受理"":""3"",""结案方式/驳回起诉"":""7"",""结案方式/撤诉"":""7"",""结案方式/调解"":""1"",""未结"":""13""}",表16 2019年全国法院审理行政一审案件情况统计表；统计期间：2019-2019；案件类别：旅游；收 案：44；结 案：38；结案方式/判决：20；结案方式/不予受理：3；结案方式/驳回起诉：7；结案方式/撤诉：7；结案方式/调解：1；未结：13
record_930ab42d2e27c35215d11e54,dataset_b0185afd65c853b06cb505b3,34,烟草专卖,"{""案件类别"":""烟草专卖"",""收 案"":""44"",""结 案"":""49"",""结案方式/判决"":""26"",""结案方式/不予受理"":""3"",""结案方式/驳回起诉"":""10"",""结案方式/撤诉"":""10"",""未结"":""6""}",表16 2019年全国法院审理行政一审案件情况统计表；统计期间：2019-2019；案件类别：烟草专卖；收 案：44；结 案：49；结案方式/判决：26；结案方式/不予受理：3；结案方式/驳回起诉：10；结案方式/撤诉：10；未结：6
record_3517bfdcb3935ca7de01b660,dataset_b0185afd65c853b06cb505b3,35,司法,"{""案件类别"":""司法"",""收 案"":""834"",""结 案"":""783"",""结案方式/判决"":""259"",""结案方式/不予受理"":""218"",""结案方式/驳回起诉"":""179"",""结案方式/撤诉"":""94"",""结案方式/调解"":""1"",""结案方式/其他"":""32"",""未结"":""146""}",表16 2019年全国法院审理行政一审案件情况统计表；统计期间：2019-2019；案件类别：司法；收 案：834；结 案：783；结案方式/判决：259；结案方式/不予受理：218；结案方式/驳回起诉：179；结案方式/撤诉：94；结案方式/调解：1；结案方式/其他：32；未结：146
record_da292399474234236628ccda,dataset_b0185afd65c853b06cb505b3,36,民政,"{""案件类别"":""民政"",""收 案"":""1915"",""结 案"":""1960"",""结案方式/判决"":""793"",""结案方式/不予受理"":""103"",""结案方式/驳回起诉"":""410"",""结案方式/撤诉"":""622"",""结案方式/调解"":""2"",""结案方式/其他"":""30"",""未结"":""144""}",表16 2019年全国法院审理行政一审案件情况统计表；统计期间：2019-2019；案件类别：民政；收 案：1915；结 案：1960；结案方式/判决：793；结案方式/不予受理：103；结案方式/驳回起诉：410；结案方式/撤诉：622；结案方式/调解：2；结案方式/其他：30；未结：144
record_abac8756a5ccac163ab3aa88,dataset_b0185afd65c853b06cb505b3,39,(续),"{""案件类别"":""(续)""}",表16 2019年全国法院审理行政一审案件情况统计表；统计期间：2019-2019；案件类别：(续)
record_9f5515b710ca194115198a84,dataset_b0185afd65c853b06cb505b3,40,案件类别,"{""案件类别"":""案件类别"",""收 案"":""收 案"",""结 案"":""结 案"",""结案方式/判决"":""结案方式"",""未结"":""未结""}",表16 2019年全国法院审理行政一审案件情况统计表；统计期间：2019-2019；案件类别：案件类别；收 案：收 案；结 案：结 案；结案方式/判决：结案方式；未结：未结
record_1e2532e4dea973a0839aa8c1,dataset_b0185afd65c853b06cb505b3,41,判决,"{""结案方式/判决"":""判决"",""结案方式/不予受理"":""不予受理"",""结案方式/驳回起诉"":""驳回起诉"",""结案方式/撤诉"":""撤诉"",""结案方式/调解"":""调解"",""结案方式/其他"":""其他""}",表16 2019年全国法院审理行政一审案件情况统计表；统计期间：2019-2019；结案方式/判决：判决；结案方式/不予受理：不予受理；结案方式/驳回起诉：驳回起诉；结案方式/撤诉：撤诉；结案方式/调解：调解；结案方式/其他：其他
record_c7b53c828b5bb8d989b362c7,dataset_b0185afd65c853b06cb505b3,42,教育,"{""案件类别"":""教育"",""收 案"":""629"",""结 案"":""599"",""结案方式/判决"":""170"",""结案方式/不予受理"":""140"",""结案方式/驳回起诉"":""172"",""结案方式/撤诉"":""108"",""结案方式/调解"":""1"",""结案方式/其他"":""8"",""未结"":""93""}",表16 2019年全国法院审理行政一审案件情况统计表；统计期间：2019-2019；案件类别：教育；收 案：629；结 案：599；结案方式/判决：170；结案方式/不予受理：140；结案方式/驳回起诉：172；结案方式/撤诉：108；结案方式/调解：1；结案方式/其他：8；未结：93
record_ed04cbb4a005605e63ccf388,dataset_b0185afd65c853b06cb505b3,43,文化,"{""案件类别"":""文化"",""收 案"":""57"",""结 案"":""63"",""结案方式/判决"":""24"",""结案方式/不予受理"":""6"",""结案方式/驳回起诉"":""15"",""结案方式/撤诉"":""14"",""结案方式/其他"":""4"",""未结"":""8""}",表16 2019年全国法院审理行政一审案件情况统计表；统计期间：2019-2019；案件类别：文化；收 案：57；结 案：63；结案方式/判决：24；结案方式/不予受理：6；结案方式/驳回起诉：15；结案方式/撤诉：14；结案方式/其他：4；未结：8
record_b11e3b7fb006f11be57b28a4,dataset_b0185afd65c853b06cb505b3,44,广播电视电影,"{""案件类别"":""广播电视电影"",""收 案"":""25"",""结 案"":""22"",""结案方式/判决"":""8"",""结案方式/不予受理"":""2"",""结案方式/驳回起诉"":""7"",""结案方式/撤诉"":""5"",""未结"":""3""}",表16 2019年全国法院审理行政一审案件情况统计表；统计期间：2019-2019；案件类别：广播电视电影；收 案：25；结 案：22；结案方式/判决：8；结案方式/不予受理：2；结案方式/驳回起诉：7；结案方式/撤诉：5；未结：3
record_6dde118c7084cb1430419892,dataset_b0185afd65c853b06cb505b3,45,统计,"{""案件类别"":""统计"",""收 案"":""8"",""结 案"":""9"",""结案方式/判决"":""4"",""结案方式/不予受理"":""2"",""结案方式/撤诉"":""3""}",表16 2019年全国法院审理行政一审案件情况统计表；统计期间：2019-2019；案件类别：统计；收 案：8；结 案：9；结案方式/判决：4；结案方式/不予受理：2；结案方式/撤诉：3
record_3f6f8690c8373a00722c4c3b,dataset_b0185afd65c853b06cb505b3,46,电力,"{""案件类别"":""电力"",""收 案"":""75"",""结 案"":""80"",""结案方式/判决"":""24"",""结案方式/不予受理"":""14"",""结案方式/驳回起诉"":""17"",""结案方式/撤诉"":""20"",""结案方式/其他"":""5"",""未结"":""5""}",表16 2019年全国法院审理行政一审案件情况统计表；统计期间：2019-2019；案件类别：电力；收 案：75；结 案：80；结案方式/判决：24；结案方式/不予受理：14；结案方式/驳回起诉：17；结案方式/撤诉：20；结案方式/其他：5；未结：5
record_b0f0d868a10882edaac2ef05,dataset_b0185afd65c853b06cb505b3,47,国有资产,"{""案件类别"":""国有资产"",""收 案"":""221"",""结 案"":""226"",""结案方式/判决"":""78"",""结案方式/不予受理"":""6"",""结案方式/驳回起诉"":""100"",""结案方式/撤诉"":""37"",""结案方式/其他"":""5"",""未结"":""14""}",表16 2019年全国法院审理行政一审案件情况统计表；统计期间：2019-2019；案件类别：国有资产；收 案：221；结 案：226；结案方式/判决：78；结案方式/不予受理：6；结案方式/驳回起诉：100；结案方式/撤诉：37；结案方式/其他：5；未结：14
